purity	normFactor	score	diploidProportion	ploidy	somaticPenalty
0.8300	0.5258	0.7111	0.0000	4.1500	0.0000
0.8300	0.5317	0.7112	0.0000	4.1000	0.0000
0.5300	0.5384	0.7127	0.0000	5.2000	0.0000
0.4200	0.9826	0.7129	0.0000	2.0600	0.0000
0.4200	0.9666	0.7156	0.0000	2.1400	0.0000
0.6400	1.3975	0.7156	0.0000	1.1000	0.0000
0.6900	0.5828	0.7158	0.0000	4.0500	0.0000
0.6100	1.3488	0.7167	0.0000	1.1400	0.0000
0.4500	0.9818	0.7167	0.0000	2.0600	0.0000
0.5200	0.5509	0.7172	0.0000	5.1000	0.0000
0.3500	0.8164	0.7195	0.0000	3.2500	0.0000
0.7400	0.5718	0.7202	0.0000	4.0000	0.0000
0.6400	1.4102	0.7207	0.0000	1.0800	0.0000
0.7500	0.5686	0.7207	0.0000	4.0000	0.0000
0.7900	0.5324	0.7216	0.0000	4.2000	0.0000
0.7300	0.5752	0.7216	0.0000	4.0000	0.0000
0.7800	0.5355	0.7218	0.0000	4.2000	0.0000
0.4800	0.5628	0.7218	0.0000	5.2000	0.0000
0.8000	0.5293	0.7222	0.0000	4.2000	0.0000
0.3500	0.8223	0.7226	0.0000	3.2000	0.0000
0.3700	0.5599	0.7233	0.0000	6.2000	0.0000
0.8100	0.5436	0.7233	0.0000	4.0500	0.0000
0.4300	0.9540	0.7236	0.0000	2.2000	0.0000
0.7100	0.5643	0.7241	0.0000	4.1500	0.0000
0.7200	0.5785	0.7245	0.0000	4.0000	0.0000
0.7500	1.5920	0.7250	0.0000	1.0000	0.0000
0.6000	1.3410	0.7252	0.0000	1.1400	0.0000
0.7700	0.5387	0.7258	0.0000	4.2000	0.0000
0.5300	1.3441	0.7258	0.0000	1.0200	0.0000
0.4500	0.9522	0.7261	0.0000	2.2000	0.0000
0.4400	0.9907	0.7270	0.0000	2.0200	0.0000
0.5700	1.3916	0.7272	0.0000	1.0000	0.0000
0.7600	0.5653	0.7272	0.0000	4.0000	0.0000
0.7700	0.5622	0.7329	0.0000	4.0000	0.0000
0.7600	0.5419	0.7332	0.0000	4.2000	0.0000
0.2800	0.7567	0.7332	0.0000	4.2500	0.0000
0.4200	0.9627	0.7343	0.0000	2.1600	0.0000
0.6400	1.3850	0.7359	0.0000	1.1200	0.0000
0.4900	1.3010	0.7364	0.0000	1.0400	0.0000
0.8100	0.5262	0.7369	0.0000	4.2000	0.0000
0.7100	0.5819	0.7380	0.0000	4.0000	0.0000
0.7800	0.5590	0.7380	0.0000	4.0000	0.0000
0.4700	0.5757	0.7383	0.0000	5.1000	0.0000
0.7600	1.6049	0.7387	0.0000	1.0000	0.0000
0.4300	0.9908	0.7391	0.0000	2.0200	0.0000
0.8400	0.5287	0.7399	0.0000	4.1000	0.0000
